date,close,neg,neu,pos,compound
2021-03-10,232.419998,1185.018,9191.662,1290.187,355.898
2021-03-11,237.130005,887.149,7182.674,1063.208,554.873
2021-03-12,235.75,1379.396,10200.694,1404.749,109.762
2021-03-15,234.809998,768.615,5704.852,840.552,211.528
2021-03-16,237.710007,2862.378,21220.263,3112.228,804.127
2021-03-17,237.039993,2505.75,18403.719,2964.594,1529.253
2021-03-18,230.720001,1992.263,14278.833,2205.99,690.695
2021-03-19,230.350006,877.773,6018.538,906.717,99.132
2021-03-22,235.990005,1223.002,8658.288,1288.729,344.186
2021-03-23,237.580002,1567.579,11058.981,1667.448,423.79
2021-03-24,235.460007,674.379,4787.882,683.746,37.083
2021-03-25,232.339996,473.488,3724.346,516.171,123.019
2021-03-26,236.479996,688.027,4534.162,614.815,-256.031
2021-03-29,235.240005,396.037,2591.714,361.252,-123.044
2021-03-30,231.850006,553.385,3819.202,546.419,-16.866
2021-03-31,235.770004,622.029,4083.33,589.657,-131.16
2021-04-01,242.350006,689.211,4890.82,660.988,-120.898
2021-04-05,249.070007,472.71,3511.498,514.831,116.593
2021-04-06,247.860001,471.449,3212.097,436.465,-128.649
2021-04-07,249.899994,530.559,3916.929,563.543,104.689
2021-04-08,253.25,553.637,4332.739,608.638,138.165
2021-04-09,255.850006,541.954,4131.358,586.671,136.084
